NtoteEnC;NoteAlgebre;Noteen_mm512maskaddps_;Noteen_mmshuffleepi32__;NoteInstrucionVectorielle
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;0,67;0,83
1,00;1,00;1,00;1,00;1,00
1,00;0,33;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
0,00;0,33;1,00;1,00;1,00
1,00;1,00;1,00;0,67;0,83
1,00;1,00;0,00;0,33;0,17
0,00;0,33;1,00;1,00;1,00
1,00;0,00;0,00;0,00;0,00
1,00;1,00;1,00;0,67;0,83
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
1,00;1,00;1,00;1,00;1,00
0,00;1,00;0,00;0,00;0,00
0,00;0,00;1,00;0,33;0,67
0,00;1,00;1,00;1,00;1,00
